,Full sample,Full sample SE,Cluster 1,Cluster 1 SE,Cluster 2,Cluster 2 SE
OAU1,-1.8840579710145358,-0.19153591425933747,-2.030398322851159,-0.21705170204374502,-1.6365248226950067,-0.289428046101404
OAU2,0.8827404479578717,0.09576795712966896,0.9234800838574506,0.10852585102187284,0.8138297872340232,0.14471402305070236
OAU3,1.0013175230566642,0.09576795712966853,1.1069182389937087,0.10852585102187219,0.8226950354609834,0.14471402305070163
MTY1,-1.6054018445323066,-0.0829374837428315,-2.212788259958084,-0.0939861439522671,-0.5780141843971522,-0.12532602024575507
MTY2,1.6054018445323066,0.0829374837428315,2.212788259958084,0.0939861439522671,0.5780141843971522,0.12532602024575507
EIN1,-0.30500658761528854,0.09576795712966697,-0.26519916142556377,0.10852585102187229,-0.3723404255319216,0.14471402305070213
EIN2,0.16337285902503007,-0.19153591425933442,0.08909853249472946,-0.21705170204374535,0.289007092198609,-0.28942804610140394
EIN3,0.14163372859025847,0.09576795712966746,0.1761006289308343,0.10852585102187308,0.08333333333331261,0.14471402305070177
SIN1,-1.2852437417654858,-0.1915359142593336,-1.4549266247379466,-0.21705170204374485,-0.998226950354614,-0.2894280461014041
SIN2,0.6719367588932863,0.09576795712966646,0.8123689727463312,0.10852585102187284,0.43439716312057497,0.14471402305070213
SIN3,0.6133069828721995,0.09576795712966715,0.6425576519916154,0.108525851021872,0.563829787234039,0.14471402305070197
EFI1,-0.23781291172595406,0.0957679571296674,-0.23899371069182349,0.10852585102187273,-0.23581560283687275,0.14471402305070172
EFI2,0.13175230566534535,-0.19153591425933475,0.13626834381551178,-0.21705170204374485,0.12411347517729493,-0.28942804610140405
EFI3,0.10606060606060871,0.09576795712966736,0.10272536687631172,0.10852585102187212,0.11170212765957782,0.14471402305070233
AFI1,-0.12911725955205303,0.09576795712966672,-0.017819706498947006,0.10852585102187233,-0.31737588652482357,0.14471402305070183
AFI2,-0.03227931488799807,-0.1915359142593338,-0.24423480083857899,-0.2170517020437447,0.32624113475177224,-0.2894280461014037
AFI3,0.1613965744400511,0.09576795712966707,0.262054507337526,0.10852585102187234,-0.008865248226948674,0.14471402305070186
PRICE_03,-1.2239789196310837,0.04788397856483311,-0.618448637316563,0.05426292551093633,-2.248226950354609,0.07235701152535098
PRICE_30,-2.4479578392621675,0.09576795712966622,-1.236897274633126,0.10852585102187266,-4.496453900709218,0.14471402305070197
PRICE_200,-3.671936758893251,0.14365193569449933,-1.855345911949689,0.162788776532809,-6.744680851063827,0.21707103457605295
Intercept,4.9732103645146575,0.1635549236107049,2.7250174703004633,0.18534317537583223,8.77600472813238,0.24714624489074763
Number of cases,253.0,,159.0,,94.0,
