,Coefficient,Standard error,P-value
Intercept,4.9732103645146575,0.1635549236107049,0.0
OAU2,0.8827404479578717,0.09576795712966896,0.0
OAU3,1.0013175230566642,0.09576795712966853,0.0
MTY2,1.6054018445323066,0.0829374837428315,0.0
EIN1,-0.30500658761528854,0.09576795712966697,0.001458
EIN3,0.14163372859025847,0.09576795712966746,0.139229
SIN2,0.6719367588932863,0.09576795712966646,0.0
SIN3,0.6133069828721995,0.09576795712966715,0.0
EFI1,-0.23781291172595406,0.0957679571296674,0.013056
EFI3,0.10606060606060871,0.09576795712966736,0.268147
AFI1,-0.12911725955205303,0.09576795712966672,0.177652
AFI3,0.1613965744400511,0.09576795712966707,0.092002
PRICE,-1.2239789196310837,0.04788397856483311,0.0
